collection_date,search_term,video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
2026-07-07 15:53:10,cooking,s-wSB2ADUzE,The Best Beef Stew Recipe,"Craving a hearty and delicious meal? Try this tender beef in a rich, flavorful sauce—paired perfectly with creamy mashed potatoes ...",Baiba Tropina,2025-02-26 08:00:46+00:00,2502884,22455,224,0,PT14S,hd,False
2026-07-07 15:53:10,cooking,zjUbHQq19GM,Cooking for Hasbulla Part 2 @albert_cancook,,QCP,2024-01-10 18:17:29+00:00,245019527,4405007,16395,0,PT31S,hd,False
2026-07-07 15:53:10,cooking,L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta","When I somehow found myself with a whole wheel of parmesan, there was only one thing to do… homemade pasta topped with ...",Max the Meat Guy,2024-05-30 16:14:15+00:00,99034669,3477016,14818,0,PT36S,hd,False
2026-07-07 15:53:10,cooking,HaEiTeA-3B8,Making Gordon Ramsay Salmon!,gordonramsay What should I cook next? Twitter: https://twitter.com/Nolan Instagram: https://www.instagram.com/nolanhansen.,Nolan,2025-07-12 19:04:51+00:00,51415959,974026,5017,0,PT22S,hd,False
2026-07-07 15:53:10,cooking,eE5TJKZ0-jg,World's Smallest Pasta,shorts #pasta #minifood #small.,Nick DiGiovanni,2022-10-21 16:00:26+00:00,184265711,4941854,16422,0,PT24S,hd,True
2026-07-07 15:53:10,cooking,DfVUf9JeXCI,How to cook hotdog with noodle recipe #cooking #shorts #shortvideo #recipe #food,,The Everyday Recipe,2025-08-16 13:15:32+00:00,18877421,299760,1592,0,PT59S,hd,False
2026-07-07 15:53:10,cooking,EV79h9795GE,COOKING FOR MY GRANDMA 🥹✨🫶🏻 (she’s here!!!!!!),,TIFFYCOOKS,2026-06-25 15:44:25+00:00,110763,6612,35,0,PT1M5S,hd,True
2026-07-07 15:53:10,cooking,tFRpQAFuL40,The Secret Chef @cookingwithkian,,QCP,2025-03-28 15:52:37+00:00,110061939,2314024,6186,0,PT48S,hd,False
2026-07-07 15:53:10,cooking,uYapEo9uQdk,Testing My Subscribers' Favorite Kitchen Gadgets | Ep. 2,Subscribe for more gadgets! Follow my Instagram to make a suggestion! Join this channel to get access to perks: ...,FutureCanoe,2026-06-15 18:56:27+00:00,824628,32021,1896,0,PT29M15S,hd,False
2026-07-07 15:53:10,cooking,GZTDYiSWtf0,would you eat this? #asmr #cooking,Gear I actually use: https://www.amazon.com/shop/zachchoiasmr Instagram @zachchoi TikTok @thezachchoi Facebook: Zach ...,Zach Choi,2025-09-01 01:30:25+00:00,16105104,325811,1517,0,PT22S,hd,False
2026-07-07 15:53:10,cooking,MOTPMbYNDl8,I Cooked the ‘Wagyu’ of EVERY Animal,Exclusive Offer: Use the code MAXTYPHUR for 15% off your Typhur Sync Gold wireless thermometer! Typhur.com➡️ ...,Max the Meat Guy,2025-08-31 15:00:40+00:00,8859799,142366,6065,0,PT46M33S,hd,False
2026-07-07 15:53:10,cooking,4MIJpa3d9r4,Chili Crab Pizza @ChefRush,It was real item Ji Li Crab Pizza. Inspired by famous Singaporean Chili Crab Dish. The result was incredible! But it was most ...,albert_cancook,2023-04-18 14:00:04+00:00,607050800,18156084,57185,0,PT46S,hd,False
2026-07-07 15:53:11,data analytics,yZvFH7B6gKI,What Is Data Analytics? - An Introduction (Full Guide),Curious about a career in Data Analytics? Book a call with a program advisor: https://bit.ly/47LEBk3 What exactly is data analytics ...,CareerFoundry,2021-03-25 13:13:45+00:00,2164961,50909,922,0,PT9M4S,hd,True
2026-07-07 15:53:11,data analytics,aUTfF62Pdlw,"Data Analyst Full Guide 2026 (FREE) | Skills, SQL, Power BI, Portfolio & AI #dataanalyst #analytics",Thinking of becoming a Data Analyst in 2026? Before spending ₹1.5 Lakhs on expensive courses or blindly following random ...,Sarven N,2026-06-16 12:30:31+00:00,19528,825,151,0,PT10M4S,hd,False
